gene 2h 6h 16h 24h 48h 72h
I_1109287 63.7757321377 17.7200901419 18.9592401624 38.2717483083 26.195195168 15.9541909904
DD5 68.4141340371 26.8138720227 43.226090755 87.0469665373 64.1593583163 47.6469779833
CALU 82.7715464984 89.1049028528 57.2892070331 42.2135585232 41.5382069829 33.8579409172
DSCR2 90.8329843313 103.143898514 45.3736697691 99.2349733572 93.8582733894 66.6086118962
MSRA 88.6740960246 98.4311178501 88.3022541447 40.1083420745 39.9627814009 22.2033771291
EIF4EBP3 106.144075902 58.5536822064 114.941632753 144.841885346 152.486558869 176.639425006
MCM5 130.257626244 106.90521799 82.9828496701 80.6164583457 45.2752394695 36.7218588367
I_931975 45.2007812657 49.6070413474 25.0227877502 33.8499799177 24.1618134596 6.58967008936
FLJ20647 80.5489061247 92.0148112673 29.4189275286 44.5631098126 39.255355406 23.2793539959
CCNE2 39.2921324904 184.235945111 64.4182004459 124.317860034 54.6247617001 30.5143672941
STCH 75.9922393473 135.691437628 116.282755026 155.273610224 90.4904129256 76.0921876707
LOXL2 79.2255119857 59.3520277415 47.0327640181 37.499274835 19.0019458887 13.4668302306
