gene;2h;6h;16h;24h;48h;72h;;;;;;;;;
PIG3;240,38;144,12;429,99;919,49;611,54;1369,99;;;;;;;;;
H2BFG;137,32;131,30;145,55;64,54;134,48;194,63;;;;;;;;;
KPNB3;140,53;100,07;57,01;64,72;100,17;80,92;;;;;;;;;
LOC56898;72,50;121,31;118,73;200,51;136,02;138,41;;;;;;;;;
I_966819;102,77;51,04;17,78;29,22;35,99;24,79;;;;;;;;;
DDR2;123,99;74,45;44,60;46,41;56,35;50,95;;;;;;;;;
MIG-6;22,16;39,95;15,49;59,57;48,75;27,64;;;;;;;;;
LRP8;78,63;82,50;52,51;46,04;49,03;21,95;;;;;;;;;
FLJ10335;45,40;56,41;29,97;87,53;44,00;28,31;;;;;;;;;
LOXL2;77,13;56,98;47,80;37,37;18,49;12,12;;;;;;;;;
MYC;160,38;76,86;35,03;54,56;85,72;67,16;;;;;;;;;
PNN;72,75;153,19;95,04;96,04;67,37;40,05;;;;;;;;;
PHKB;102,47;101,68;72,76;40,87;56,49;55,95;;;;;;;;;
SAP30;36,01;30,04;30,79;83,28;49,15;30,03;;;;;;;;;
MAGEF1;85,72;114,97;122,42;189,56;159,97;151,61;;;;;;;;;
PRC1;61,56;56,11;24,27;37,14;19,84;7,35;;;;;;;;;
GOLGA4;101,74;44,56;28,86;59,61;65,48;36,63;;;;;;;;;
MAST205;141,75;87,54;80,13;48,03;83,88;82,18;;;;;;;;;
FMR1;88,96;52,05;45,26;112,18;94,55;80,51;;;;;;;;;
CSPG6;83,11;38,94;40,66;93,70;69,16;54,26;;;;;;;;;
MSH2;61,62;36,70;20,74;85,59;54,77;30,85;;;;;;;;;
RGS17;78,30;35,49;29,51;33,26;58,98;39,43;;;;;;;;;
KIAA1536;88,79;86,15;93,26;194,39;173,62;136,35;;;;;;;;;
FLJ13409;73,17;37,09;39,00;80,66;82,42;64,87;;;;;;;;;
PCM1;95,35;57,29;29,13;82,67;87,97;68,38;;;;;;;;;
PAIP1;86,74;48,15;73,78;165,46;172,51;108,92;;;;;;;;;
IL6;136,07;130,58;81,10;121,63;259,56;231,86;;;;;;;;;
FLJ20539;93,50;131,14;127,34;199,32;125,21;141,70;;;;;;;;;
TGFBR2;66,93;21,53;18,43;49,89;56,69;47,85;;;;;;;;;
KIAA0073;42,76;51,70;49,17;139,32;85,30;58,96;;;;;;;;;
ETR101;597,27;271,13;124,17;140,24;149,19;114,42;;;;;;;;;
SPP1;85,34;139,34;151,59;117,95;153,54;180,93;;;;;;;;;
FOXM1;142,11;84,91;68,17;49,99;34,45;25,79;;;;;;;;;
I_1100249;75,94;93,45;76,15;182,05;129,89;100,27;;;;;;;;;
RGS20;73,80;80,23;34,11;36,68;38,06;26,59;;;;;;;;;
PPIH;93,06;150,50;89,12;75,13;65,69;59,88;;;;;;;;;
GCLM;74,33;60,23;43,24;84,14;62,01;40,36;;;;;;;;;
GBE1;45,12;41,84;18,29;16,20;14,48;8,89;;;;;;;;;
MGC16063;115,86;66,64;82,85;158,35;170,57;155,44;;;;;;;;;
I_1109287;63,78;17,72;18,96;38,27;26,20;15,95;;;;;;;;;
DD5;68,41;26,81;43,23;87,05;64,16;47,65;;;;;;;;;
CALU;82,77;89,10;57,29;42,21;41,54;33,86;;;;;;;;;
DSCR2;90,83;103,14;45,37;99,23;93,86;66,61;;;;;;;;;
MSRA;88,67;98,43;88,30;40,11;39,96;22,20;;;;;;;;;
EIF4EBP3;106,14;58,55;114,94;144,84;152,49;176,64;;;;;;;;;
MCM5;130,26;106,91;82,98;80,62;45,28;36,72;;;;;;;;;
I_931975;45,20;49,61;25,02;33,85;24,16;6,59;;;;;;;;;
FLJ20647;80,55;92,01;29,42;44,56;39,26;23,28;;;;;;;;;
CCNE2;39,29;184,24;64,42;124,32;54,62;30,51;;;;;;;;;
STCH;75,99;135,69;116,28;155,27;90,49;76,09;;;;;;;;;
LOXL2;79,23;59,35;47,03;37,50;19,00;13,47;;;;;;;;;
I_934582;63,39;62,63;30,30;76,72;73,31;54,63;;;;;;;;;
SPP1;83,37;145,60;149,76;119,85;152,58;188,51;;;;;;;;;
MMP1;77,37;124,66;82,49;66,75;192,50;243,42;;;;;;;;;
CDH13;73,02;92,72;104,13;80,46;31,15;25,12;;;;;;;;;
SMARCAL1;121,23;52,64;68,62;99,21;127,99;120,28;;;;;;;;;
M17S2;110,50;84,95;80,62;170,34;154,46;159,69;;;;;;;;;
MRPS6;55,25;39,36;20,99;31,92;29,22;21,29;;;;;;;;;
PSMC6;81,10;74,21;54,43;138,70;85,03;85,01;;;;;;;;;
CLIPR-59;205,94;99,55;198,79;280,56;242,33;362,61;;;;;;;;;
CLK1;24,25;168,42;82,84;123,80;69,34;53,15;;;;;;;;;
